smiles	idnumber
COc1cc(C(=O)NC[C@@H]2CCCN(C)[C@H]2c2ccnn2C)cc(C)n1	Z2055569811
O=C(NCC(F)(F)CO)[C@H]1CCC(=O)N(C2CC2)[C@@H]1c1ccncc1	Z2057786721
CCn1c(C)cc(C(=O)N[C@@H]2CCC(=O)N(C)[C@H]2c2ccnn2C)c1C	Z2062070514
CN1C(=O)C[C@@H](NC(=O)COCc2ccccc2)[C@@H]1c1ccnn1C	Z2055405857
Cc1c(C(=O)Nc2cccc(F)c2)nnn1-c1cccc2c1CCN(Cc1ccccn1)C2	Z1170370275
CC(C)[C@H](NC(=O)c1ccco1)C(=O)N1CCCCC1	Z100459532
CCOCC(O)CN1CCN(C(=O)c2c(C)noc2C)CC1	Z1143013028
Cc1nc(C2CCCN(C(=O)c3ccc(S(C)=O)cc3)C2)no1	Z1080276742
CC(NC(=O)c1ccccc1OC(F)F)c1ccc(Cl)cc1	Z27996394
CCCc1n[nH]c(C2CN(C(=O)c3cc(C)n[nH]3)CCO2)n1	Z1268835243
C[C@H]1OCCN(Cc2cccc(C(=O)NCc3ccco3)c2)[C@@H]1C(N)=O	Z2058059829
O=C(NCCN1CCCC1)c1cc2c(s1)CCCC2	Z136989800
O=C(Nc1nnc(C2CC2)s1)c1sccc1C1CC1	Z55162092
CC1CCC(OCC(=O)N[C@@H]2CC(=O)N(C)[C@H]2c2ccnn2C)CC1	Z2055392604
Cc1cnn(C2CCCN(C(=O)c3ccc(OCC4CC4)cc3)C2)c1	Z1139348523
c1ccc(-c2noc3ncc(-c4nnc(C5CC5)o4)cc23)cc1	Z1165364324
Cc1cc(C(=O)N2CCC(Nc3cccnn3)CC2)n(C)n1	Z1139265782
CS(=O)(=O)NCCCN1CCCC(c2ccn[nH]2)C1	Z821727124
CC(C)COc1ccc(CNC(=O)c2ccccc2OC(F)F)cc1	Z739488130
Cc1cc(C2CCCN(C(=O)CCc3cnn(C)c3)C2)n[nH]1	Z1269729794
Cc1n[nH]c([C@@H]2CC[C@H](CNC(=O)c3ccc(F)cc3Cl)O2)n1	Z2396371544
Cc1noc([C@@H]2C[C@@H](O)[C@@H](CNC(=O)c3cc4ccccc4n3C)C2)n1	Z2764029064
Cc1ccc(F)c(CC(=O)N2CCC(c3nnc4ccccn34)CC2)c1	Z2253564829
Cc1cc(C(=O)N[C@H]2CCC[C@H]2Oc2cn[nH]c2)n(C)n1	Z2766154856
COc1cncc(CNC(=O)[C@@H]2Cc3ccccc3O[C@H]2C(F)F)c1	Z2960894701
COc1cccc(C(=O)N2CCC([C@@H]3CC[C@H](C(N)=O)O3)CC2)c1F	Z2766392349
Cc1ccccc1N1CCN(C(=O)Nc2cnc(C3CC3)nc2)CC1	Z1104792399
NC(=O)[C@H]1CCO[C@@H]1C1CCN(Cc2cccc3cccnc23)CC1	Z2052941469
CCOc1ccnc(N2CCN(C(=O)c3occc3C)CC2)n1	Z1139280922
Cc1cnn(CCN(Cc2nc(-c3cccc(Cl)c3)no2)Cc2nc(-c3cccc(Cl)c3)no2)c1	Z1251363654
Cn1cc(C(=O)N2CCCC(c3cc(C(F)(F)F)[nH]n3)C2)ccc1=O	Z1269694555
Cc1noc([C@@H]2C[C@@H](O)[C@@H](CNC(=O)C3Cc4ccccc4C3)C2)n1	Z2764036822
COc1cc(C(=O)O)ccc1CCNC(=O)c1ccc(C)s1	Z2256285087
Cc1ccc(C(=O)NCCNC(=O)NC2c3ccccc3CC2O)cc1	Z1181011390
CCOc1ccc(CN2CCC[C@H](C(=O)O)C2)cc1	Z2796698495
O=C(Nc1cnn(CC2CCCO2)c1)N[C@H]1CC[C@H](O)CC1	Z1506508708
O=C(Nc1cnc(C2CC2)nc1)N1CCN(c2ccccc2O)CC1	Z1104796046
CCn1ccnc1C(NC(=O)c1cccc(C)n1)C1CCOCC1	Z2060513713
CCc1ncc(C(=O)N2CCCN(Cc3cnn(C)c3)CC2)s1	Z1139286749
COCCOc1ccc(C(F)(F)F)cc1NC(=O)Cc1ccccc1OC	Z28757952
COc1ccc(C)cc1S(=O)(=O)N1CCC=C(c2cnn(C)c2)C1	Z3009188312
COc1ccc(C(=O)NC[C@H]2C[C@H](c3nc(C)no3)C[C@H]2O)cc1F	Z2764026081
CC1Oc2c(cccc2C(=O)NC2COc3ccccc3C2)NC1=O	Z1128128036
COc1cccc(OC)c1C(=O)NCc1cccnc1N1CCC(C(N)=O)CC1	Z1131443863
CCn1ccnc1[C@@H]1OCC[C@H]1NC(=O)c1cc2c(C)cccc2o1	Z2961110775
CCn1ccnc1C(NC(=O)c1cncc(C)c1)C1CCOCC1	Z2060506160
Nc1ncncc1C(=O)NCC1(c2cccc(C(F)(F)F)c2)CC1	Z1867444825
COc1ccnc(N2CCN(C(=O)c3cccnc3O)CC2)n1	Z757368916
Cc1c(C(=O)NCC2CCCO2)nnn1-c1cccc2c1CCN(Cc1ccccc1)C2	Z1165360516
CCCOc1ccc(C(F)(F)F)cc1NC(=O)Cc1ccccc1C	Z51878072
O=C(c1ccc2c(c1)[nH]c(=O)n2C1CC1)N1CCS(=O)(=O)C2CCCC21	Z2641292543
O=C(Nc1cnn(CCN2CCOCC2)c1)c1ccc(Cn2ccnc2)cc1	Z1102713466
CC(=O)NC1CCCN(C(=O)c2cccc3c2OC(C)C(=O)N3)C1	Z1128224202
CN(Cc1cscn1)C(=O)CC1CC(=O)Nc2ccccc21	Z2950156287
