smiles	idnumber
O=C(Cn1c(=O)c(F)cn(C2CCCO2)c1=O)Nc1ccc(S(=O)(=O)N2CCOCC2)cc1	Z107295692
O=C(OCC1OC(n2ccc(=O)[nH]c2=O)C(O)C1OC(=O)c1ccccc1)c1ccccc1	Z56786743
Nc1ncnc2c1ncn2C1OC(CO)C(F)C1O	Z56786752
Cc1cn(C2OC(COC(=O)c3ccccc3)C(O)C2O)c(=O)[nH]c1=O	Z56786759
CC(=O)OCC1OC(n2cc(F)c(=O)[nH]c2=O)C(OC(C)=O)C1OC(C)=O	Z56786767
CC(=O)OCC1OC(n2c(S(C)(=O)=O)nc3c(N)ncnc32)C(OC(C)=O)C1OC(C)=O	Z2239043928
CC(=O)OCC1OC(n2c(Br)nc3c(N)ncnc32)C(OC(C)=O)C1OC(C)=O	Z2239043929
c1ccc(CNc2ncnc3c2ncn3C2CCCCO2)cc1	Z56780075
O=C(Cn1c(=O)c(F)cn(C2CCCO2)c1=O)N1CCN(C(=O)c2cccs2)CC1	Z107297016
Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O	Z1259192075
O=C(Cn1c(=O)c(F)cn(C2CCCO2)c1=O)N(CCc1ccccc1)Cc1ccccc1	Z94557672
OCCC(Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O)C1CCCCC1	Z1980978363
OC[C@H]1O[C@@H](n2cnc3c(N4CCc5ccccc54)ncnc32)[C@H](O)[C@@H]1O	Z1980898745
O=c1c(F)cn(C2CCCO2)c(=O)n1CC(O)CCc1ccccc1	Z1672739450
Cc1cn(C2CC(O)C(CO)O2)c(=O)n(CC(=O)N2CCc3cc([N+](=O)[O-])ccc32)c1=O	Z1544608062
Cc1cc(Cn2c(=O)c(C)cn(C3CC(O)C(CO)O3)c2=O)c2ccccc2n1	Z1544608199
Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O	Z802671516
COCC(C)n1c(C)cc(C(=O)Cn2c(=O)c(F)cn(C3CCCO3)c2=O)c1C	Z94560942
O=c1c(F)cn(C2CCCO2)c(=O)n1Cc1nc2ccccc2s1	Z94558269
Cc1cccc(NC(=O)CNC(=O)Cn2c(=O)c(F)cn(C3CCCO3)c2=O)c1C	Z94560748
O=C(Cn1c(=O)c(F)cn(C2CCCO2)c1=O)Nc1cccc2c1N=S=N2	Z94560718
CC1CCN(C(=O)Cn2c(=O)c(F)cn(C3CCCO3)c2=O)c2ccccc2S1	Z335081646
COc1cccc(-c2noc(Cn3c(=O)c(F)cn(C4CCCO4)c3=O)n2)c1	Z107296904
N#Cc1cccc(Cn2c(=O)c(F)cn(C3CCCO3)c2=O)c1	Z229664396
CS(=O)(=O)N1CCN(C(=O)Cn2c(=O)c(F)cn(C3CCCO3)c2=O)CC1	Z286114864
CC(NC(=O)Cn1c(=O)c(F)cn(C2CCCO2)c1=O)c1ccco1	Z282038648
O=C(Cn1c(=O)c(F)cn(C2CCCO2)c1=O)c1c(-c2ccccc2)[nH]c2ccccc12	Z107296876
Cc1ccc(NC(=O)Cn2c(=O)c(F)cn(C3CCCO3)c2=O)cc1S(=O)(=O)N1CCOCC1	Z107295712
O=C(Cn1c(=O)c(F)cn(C2CCCO2)c1=O)Nc1ccccc1	Z94556008
O=C(O)Cn1c(=O)c(F)cn(C2CCCO2)c1=O	Z119992364
O=c1c(F)cn(C2CCCO2)c(=O)n1Cc1nnc(-c2ccc(Br)cc2)o1	Z107296100
COc1ccccc1NC(=O)c1ccc(NC(=O)Cn2c(=O)c(F)cn(C3CCCO3)c2=O)cc1	Z94558674
O=C(Cn1c(=O)c(F)cn(C2CCCO2)c1=O)N1CCc2ccccc21	Z94556768
O=C(Cn1c(=O)c(F)cn(C2CCCO2)c1=O)Nc1ccc(S(=O)(=O)N2CCCC2)cc1	Z94556873
O=c1c(F)cn(C2CCCO2)c(=O)n1Cc1nnc(-c2ccc(Cl)cc2)o1	Z107296274
O=C(Cn1c(=O)c(F)cn(C2CCCO2)c1=O)Nc1ccc2c(c1)CCC2	Z94560110
O=C(Cn1c(=O)c(F)cn(C2CCCO2)c1=O)Nc1ccccc1Sc1ccc(Cl)cc1	Z94557849
O=C(Cn1c(=O)c(F)cn(C2CCCO2)c1=O)Nc1ccccc1Oc1ccccc1	Z94556468
O=C(Cn1c(=O)c(F)cn(C2CCCO2)c1=O)N1N=C(c2ccc(Cl)cc2)CC1c1ccco1	Z94557627
CC1CN(c2ncnc3c2ncn3C2CC(CO)(CO)C2)CCS(=O)C1	Z2760962371
Cc1cc(C(=O)Cn2c(=O)c(F)cn(C3CCCO3)c2=O)c(C)n1Cc1ccco1	Z94559538
O=C(Cn1c(=O)c(F)cn(C2CCCO2)c1=O)NC1CCCc2ccccc21	Z107296178
Cc1cc(C(=O)Cn2c(=O)c(F)cn(C3CCCO3)c2=O)c(C)n1Cc1cccs1	Z94559553
O=C(Cn1c(=O)c(F)cn(C2CCCO2)c1=O)N1CCC(Cc2ccccc2)CC1	Z107295666
CC(NC(=O)Cn1c(=O)c(F)cn(C2CCCO2)c1=O)c1ccc2ccccc2c1	Z107296968
O=C(Cn1c(=O)c(F)cn(C2CCCO2)c1=O)c1ccc(Br)cc1	Z94557424
O=C(Cn1c(=O)c(F)cn(C2CCCO2)c1=O)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1	Z94556813
O=C(Cn1c(=O)c(F)cn(C2CCCO2)c1=O)Nc1cccc(I)c1	Z94558629
CC1(C)CN(c2ncnc3c2ncn3CC2(CO)COC2)CC2(CCOC2)O1	Z2760965290
CC(C)C(=O)NCCN(C)c1ncnc2c1ncn2C1CC(CO)(CO)C1	Z2760960144
OCC(Cn1cnc2c(N3CCCCC3C3CCCC3O)ncnc21)C1CCOC1	Z2760971074
CC1CN(c2ncnc3c2ncn3C2CC(CO)(CO)C2)CC1N1CCOCC1	Z2760949154
CC(C)CC(CO)N(C)c1ncnc2c1ncn2CC1(O)CCOCC1	Z2760963831
CCC1COC(C)(C)CN1c1ncnc2c1ncn2C1CC(CO)(CO)C1	Z2760977058
CCN1CCCC1CN(C)c1ncnc2c1ncn2CC1(O)CCOCC1	Z2760951661
CC1OCCC1(O)Cn1cnc2c(N(C)CC(O)CN3CCOCC3)ncnc21	Z2760952659
OC1(Cn2cnc3c(N4C5CCCC4CC(F)(F)C5)ncnc32)CCOCC1	Z2760976981
CN(C)CCN1CCCN(c2ncnc3c2ncn3CC(O)C2CCCO2)CC1	Z2760945022
CC(C(C)S(C)(=O)=O)N(C)c1ncnc2c1ncn2CC1(CO)COC1	Z2760946602
OC[C@H]1O[C@@H](n2cnc3c2N=CNC[C@H]3O)C[C@@H]1O	Z2216208604
Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1F	Z1557400138
Nc1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1	Z1550648753
NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1	Z1522567185
CCOC(=O)C12CC(C)(C1)OC21CCN(C(=O)c2cnnn2CC)CC1	Z3596779858
COC[C@@H]1C[C@@H](OC)CN1c1ncnc2c1ncn2CC1(O)CCOCC1	Z2760968811
N#CCC(=O)N1CCN(c2ncnc3c2ncn3CC2(O)CCOC2)CC1	Z2760954293
Cc1ccc(C)c(OCC(O)Cn2c(=O)c(F)cn(C3CCCO3)c2=O)c1C	Z1516474319
OCC1(CO)CC(n2cnc3c(N4CCOC5(CCCOC5)C4)ncnc32)C1	Z2760969842
OC1(Cn2cnc3c(N4CCCC(OCC5CC5)C4)ncnc32)CCOC1	Z2760964357
OCC1CC2CCC1N2c1ncnc2c1ncn2C1CC(CO)(CO)C1	Z2760974090
CC(C)C1N(c2ncnc3c2ncn3C2CC(CO)(CO)C2)CC12CCCCC2	Z2760974681
CCN1CCC2CCC(C1)N2c1ncnc2c1ncn2CC1(CO)COC1	Z2760952983
OC(Cn1cnc2c(N3CCOCC3CC3CCC3)ncnc21)C1CCCO1	Z2760972620
CC(C)CC1C(=O)NCCN1c1ncnc2c1ncn2CC1(O)CCOC1C	Z2760963610
OCC1(Cn2cnc3c(N(CC4CC4)C4CCCCC4)ncnc32)COC1	Z2760943600
OC1(Cn2cnc3c(N(CC4CCCO4)C4CCCC4)ncnc32)CCOCC1	Z2760947034
NC(=O)CN1CCN(c2ncnc3c2ncn3CC(O)C2CCCO2)CC1=O	Z2760974967
CC1OCCC1(O)Cn1cnc2c(N3CC(=O)N(CC(F)(F)F)C3)ncnc21	Z2760968723
OCC1(CO)CC(n2cnc3c(N4CCC5(O)CCCCC5C4)ncnc32)C1	Z2760953300
COC1CCC2OCCN(c3ncnc4c3ncn4CC3(CO)CCOCC3)C2C1	Z2760956898
COCCN(CCC#N)c1ncnc2c1ncn2CC1(O)CCOC1C	Z2760943690
OCC1(CO)CC(n2cnc3c(N4CC(O)(C(F)F)C4)ncnc32)C1	Z2760976264
CC(=O)NCC1CN(c2ncnc3c2ncn3CC2(O)CCOCC2)CCO1	Z2760948750
CCN(c1ncnc2c1ncn2CC1(O)CCOCC1)C1CCNC1=O	Z2760965781
NC(=O)CCC1CCCN(c2ncnc3c2ncn3C2CC(CO)(CO)C2)C1	Z2760943306
CC(=O)NCCN(c1ncnc2c1ncn2CC1(O)CCOC1C)C(C)C	Z2760960997
O=C1CN(c2ncnc3c2ncn3CC2(O)CCOCC2)C2CCCCC2N1	Z2760955354
CN(CCN1CCCC1=O)c1ncnc2c1ncn2CC1(O)CCOCC1	Z2760947151
COCC(=O)NC1CN(c2ncnc3c2ncn3CC2(O)CCOC2)C1	Z2760964791
CC1CCC(C(N)=O)CN1c1ncnc2c1ncn2C1CC(CO)(CO)C1	Z2760939029
O=C1NC(=O)C2(CCN(c3ncnc4c3ncn4CC3(CO)COC3)CC2)N1	Z2760935449
CC1CC2CCCCC2N1c1ncnc2c1ncn2CC1(O)CCOC1	Z2760949355
OCC1(Cn2cnc3c(N4CCCC45CCOC5)ncnc32)CCOCC1	Z2760969724
CCN(CC(C)C#N)c1ncnc2c1ncn2CC1(CO)COC1	Z2760938802
CCC(CC)CN(CCC#N)c1ncnc2c1ncn2C1CC(CO)(CO)C1	Z2760944632
CC1CN(c2ncnc3c2ncn3CC2(O)CCOCC2)CCN(C2CC2C)C1	Z2760972409
CC(CS(C)=O)N(C)c1ncnc2c1ncn2CC1(CO)CCOCC1	Z2760958535
N#CCC1(O)CN(c2ncnc3c2ncn3CC(O)C2CCCO2)C1	Z2760963488
CC1OCCC1(O)Cn1cnc2c(N3C[C@H](F)C[C@H]3C(N)=O)ncnc21	Z2760969008
COCCC1COCCN1c1ncnc2c1ncn2CC1(O)CCOC1C	Z2760972084
CN1CCC2C(CCCN2c2ncnc3c2ncn3C2CC(CO)(CO)C2)C1	Z2760954340
CC1OCCC1(O)Cn1cnc2c(N3C4CCC3C(CO)C4)ncnc21	Z2760974081
COCCN(c1ncnc2c1ncn2CC1(CO)COC1)C1CCC(C)C1	Z2760967613
CC(C)N(CCOCCO)c1ncnc2c1ncn2CC1(CO)CCOCC1	Z2760969550
CC1(CC(F)(F)F)CN(c2ncnc3c2ncn3CC2(O)CCOCC2)C1	Z2760975203
O=C1CC(C2CCCCN2c2ncnc3c2ncn3CC(O)C2CCCO2)CN1	Z2760960512
CC(=O)NCC1CCCN(c2ncnc3c2ncn3CC2(CO)COC2)C1	Z2760941182
OCCOCCN(CCO)c1ncnc2c1ncn2C1CC(CO)(CO)C1	Z2760977749
O=C1CN(c2ncnc3c2ncn3C2CC(CO)(CO)C2)CN1CC(F)(F)F	Z2760968730
CC1(C)CN(c2ncnc3c2ncn3CC2(CO)COC2)CCN1CCO	Z2760962909
CCC1C(=O)N(C)CCN1c1ncnc2c1ncn2CC1(CO)COC1	Z2760977402
O=C1NC[C@@H]2[C@H]1CCCN2c1ncnc2c1ncn2CC1(CO)COC1	Z2760966238
COC1CC(N(C)c2ncnc3c2ncn3C2CC(CO)(CO)C2)C12CCC2	Z2760970492
CC(=O)NC(C)C1CCN(c2ncnc3c2ncn3C2CC(CO)(CO)C2)CC1	Z2760963880
CC1CN(CC(C)(C)O)CCN1c1ncnc2c1ncn2CC(CO)C1CCOC1	Z2760962899
CC(CN1CCOCC1)N(C)c1ncnc2c1ncn2CC(O)C1CCCO1	Z2760967450
CN(CC(=O)NC1CC1)c1ncnc2c1ncn2CC1(CO)COC1	Z2760934018
C[C@@H]1[C@H](N(C)CCO)CCN1c1ncnc2c1ncn2C1CC(CO)(CO)C1	Z2760971959
CC1CCN(c2ncnc3c2ncn3CC2(CO)CCOCC2)CC12CCCCC2	Z2760964335
OCC1(CO)CC(n2cnc3c(N4CCC(C5CCCO5)CC4)ncnc32)C1	Z2760963285
CC(C)Oc1cc(CNc2ncnc3c2ncn3[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)ccn1	Z1980993192
NC(=O)CC1CCCCN1c1ncnc2c1ncn2CC1(O)CCOC1	Z2760941425
NC(=O)C1C2CCCC2CN1c1ncnc2c1ncn2CC1(CO)COC1	Z2760963014
NC(=O)[C@@H]1C[C@@H](F)CN1c1ncnc2c1ncn2CC(CO)C1CCOC1	Z2760969018
COCCN(CC(=O)N(C)C)c1ncnc2c1ncn2CC1(CO)CCOCC1	Z2760944204
